Alpha,Cl,Cd,CDp,Cm,XStrip(1),XStrip(2),XOCtr(1),XOCtr(2),YOCtr(1),YOCtr(2)
-10.0,-0.7489042282104492,0.08132659643888474,-2.5951859951019287,-0.019245442003011703,1.0,1.0,1.0,0.162528857588768,0.0012600000482052565,-0.05464747175574303
-9.75,-0.7970187067985535,0.07275550812482834,-2.8156750202178955,-0.02201707288622856,1.0,1.0,1.0,0.1554504632949829,0.0012600000482052565,-0.05399136617779732
-9.5,-0.8225430250167847,0.06683274358510971,-2.916191339492798,-0.02194422297179699,1.0,1.0,1.0,0.15402516722679138,0.0012600000482052565,-0.053853221237659454
-9.25,-0.8423967361450195,0.06148538365960121,-2.9932467937469482,-0.02096862904727459,1.0,1.0,1.0,0.15397506952285767,0.0012600000482052565,-0.053848329931497574
-9.0,-0.8545337915420532,0.05671663582324982,-3.0406534671783447,-0.019405199214816093,1.0,1.0,1.0,0.15529654920101166,0.0012600000482052565,-0.053976546972990036
-8.75,-0.8610442876815796,0.052293263375759125,-3.07009220123291,-0.017445752397179604,1.0,1.0,1.0,0.15708516538143158,0.0012600000482052565,-0.054147280752658844
-8.5,-0.8623864650726318,0.04824972152709961,-3.0832302570343018,-0.015190093778073788,1.0,1.0,1.0,0.15896911919116974,0.0012600000482052565,-0.05432366579771042
-8.25,-0.8474408388137817,0.044906873255968094,-3.0123493671417236,-0.014041522517800331,1.0,1.0,1.0,0.16356125473976135,0.0012600000482052565,-0.054739102721214294
-8.0,-0.8318619728088379,0.04239008575677872,-2.9523544311523438,-0.01260287407785654,1.0,1.0,1.0,0.17025721073150635,0.0012600000482052565,-0.05530912056565285
-7.75,-0.8220972418785095,0.039716675877571106,-2.9174110889434814,-0.01055073644965887,1.0,1.0,1.0,0.17930343747138977,0.0012600000482052565,-0.05601508170366287
-7.5,-0.8026174902915955,0.03794393315911293,-2.8226985931396484,-0.009294719435274601,1.0,1.0,1.0,0.19119472801685333,0.0012600000482052565,-0.0568380281329155
-7.25,-0.785508394241333,0.03548499569296837,-2.7572686672210693,-0.007773629855364561,1.0,1.0,1.0,0.20146742463111877,0.0012600000482052565,-0.057459354400634766
,,,,,,,,,,
-6.75,-0.7494239807128906,0.032080672681331635,-2.588705062866211,-0.004517490044236183,1.0,1.0,1.0,0.2349041849374771,0.0012600000482052565,-0.05896492302417755
-6.5,-0.7294979095458984,0.030426057055592537,-2.4944021701812744,-0.003014502115547657,1.0,1.0,1.0,0.25528600811958313,0.0012600000482052565,-0.059538453817367554
-6.25,-0.7102289199829102,0.029001133516430855,-2.3943705558776855,-0.001352220308035612,1.0,1.0,1.0,0.2808517813682556,0.0012600000482052565,-0.05993330478668213
-6.0,-0.6905297636985779,0.027788175269961357,-2.2881276607513428,0.00044029540731571615,1.0,1.0,1.0,0.31030508875846863,0.0012600000482052565,-0.059992823749780655
-5.75,-0.6734697222709656,0.026635251939296722,-2.1927599906921387,0.002594137331470847,1.0,1.0,1.0,0.34634295105934143,0.0012600000482052565,-0.05955886468291283
-5.5,-0.6545180082321167,0.025713983923196793,-2.098306179046631,0.004814868327230215,1.0,1.0,1.0,0.38506773114204407,0.0012600000482052565,-0.05855127424001694
-5.25,-0.6363791227340698,0.024906791746616364,-2.006629228591919,0.007275789510458708,1.0,1.0,1.0,0.42734241485595703,0.0012600000482052565,-0.056901004165410995
-5.0,-0.6184368133544922,0.024244362488389015,-1.91358482837677,0.009917926043272018,1.0,1.0,1.0,0.4717791676521301,0.0012600000482052565,-0.054631806910037994
-4.75,-0.6004309058189392,0.0236994419246912,-1.8194326162338257,0.012682887725532055,1.0,1.0,1.0,0.5166056156158447,0.0012600000482052565,-0.05186254531145096
-4.5,-0.5825892090797424,0.023269154131412506,-1.7252037525177002,0.015591536648571491,1.0,1.0,1.0,0.5611845850944519,0.0012600000482052565,-0.048692990094423294
-4.25,-0.5627859234809875,0.023052336648106575,-1.6245334148406982,0.018685033544898033,1.0,1.0,1.0,0.602946400642395,0.0012600000482052565,-0.04539063945412636
-4.0,-0.5426831245422363,0.02293156087398529,-1.5251812934875488,0.021883053705096245,1.0,1.0,1.0,0.6431808471679688,0.0012600000482052565,-0.04193548858165741
-3.75,-0.5230440497398376,0.022837331518530846,-1.4405850172042847,0.025109291076660156,1.0,1.0,1.0,0.6829587817192078,0.0012600000482052565,-0.03827666491270065
-3.5,-0.5037959218025208,0.022782085463404655,-1.3579800128936768,0.028369350358843803,1.0,1.0,1.0,0.7223380208015442,0.0012600000482052565,-0.03443154692649841
-3.25,-0.4780745208263397,0.023065896704792976,-1.2624446153640747,0.031233705580234528,1.0,1.0,1.0,0.7582783699035645,0.0012600000482052565,-0.030736926943063736
-3.0,-0.44804316759109497,0.02340225875377655,-1.161632776260376,0.03320867195725441,1.0,1.0,1.0,0.7940391302108765,0.0012600000482052565,-0.02688930369913578
-2.75,-0.40893080830574036,0.023825330659747124,-1.0610895156860352,0.03339948505163193,1.0,1.0,1.0,0.8297092318534851,0.0012600000482052565,-0.022881513461470604
-2.5,-0.3522832691669464,0.024343116208910942,-0.936954915523529,0.030141891911625862,1.0,1.0,1.0,0.8645007014274597,0.0012600000482052565,-0.018807265907526016
-2.25,-0.27373477816581726,0.024739902466535568,-0.8021936416625977,0.022142359986901283,1.0,1.0,1.0,0.8976063132286072,0.0012600000482052565,-0.014774651266634464
-2.0,-0.1898011863231659,0.024640876799821854,-0.6792054772377014,0.011889525689184666,1.0,1.0,1.0,0.9291159510612488,0.0012600000482052565,-0.010789968073368073
